raw_text,source
Is it possible for me to change my PIN number?,BANKING77
I'm not sure why my card didn't work,BANKING77
I don't think my top up worked,BANKING77
Can you explain why my payment was charged a fee?,BANKING77
"How long does a transfer from a UK account take? I just made one and it doesn't seem to be working, wondering if everything is okay",BANKING77
Why am I getting declines when trying to make a purchase online?,BANKING77
What is the $1 transaction on my account?,BANKING77
It looks like my card payment was sent back.,BANKING77
Why am I unable to transfer money when I was able to before?,BANKING77
What if there is an error on the exchange rate?,BANKING77
After I transferred money the balance remained the same.,BANKING77
How much does top up fees cost?,BANKING77
limits on top ups,BANKING77
My card payment was not successful.,BANKING77
I live in the EU - can I get a card?,BANKING77
Why did my top-up not work?,BANKING77
"I have a strange transaction for £1 on my statement, what is that?",BANKING77
Why is my money not in my account. I have already sent it out.,BANKING77
Let me know what the steps for the identity checks are,BANKING77
I need my card as quick as possible,BANKING77
In what increments can I top-up my card?,BANKING77
When do i activate auto top-up?,BANKING77
Do you charge for sending out more cards?,BANKING77
Why am I being asked to verify my identity?,BANKING77
What currencies can I use?,BANKING77
I withdrew cash and I think the exchange rate is wrong.,BANKING77
"My top up hasn't gone through yet, why?",BANKING77
"Hello, I have a question concerning an unfamiliar fee that I notice on my account. I see that you guys charge for ATM withdrawal. Never notice this fee until now. Can you please explain?",BANKING77
The exchange rate was wrong in the foreign country I got cash in.,BANKING77
I am still waiting for a transfer to show,BANKING77
How is the exchange rate calculated?,BANKING77
"There was an extra fee when I paid with my card, why was i charged this extra fee?",BANKING77
My credit card seems to have been declined for top up. Why is it not going through? Can you tell me what's going on?,BANKING77
"My transfers keep on getting declined. My card was working fine up until now, however it has suddenly stopped working. Why is this?",BANKING77
How long does it take for my physical card to be delivered.,BANKING77
I need to know why a money transfer is available.,BANKING77
I must make several disposable cards every day.,BANKING77
What do I do to link my new card?,BANKING77
Why is their a charge pending on my card still?,BANKING77
Why is there extra cash in my account?,BANKING77
Can I get a refund on an item?,BANKING77
Can I get an update on my replacement card?,BANKING77
How do I know what my PIN is?,BANKING77
In which countries can I get a card?,BANKING77
Can I choose from either Visa or Mastercard?,BANKING77
My card still hasn't been delivered,BANKING77
I didn't make the direct debit payment on my account.,BANKING77
after i got married i need to change my name,BANKING77
How can I tell the source for my available funds?,BANKING77
I didn't get all the cash I asked for,BANKING77
where did my funds come from?,BANKING77
I checked my account and see that funds were deducted from a seller I didn't approve of. Can you help me understand?,BANKING77
"Apparently, I went out today to use my new card and was informed my payment was decline. This is really embarrassing, what happen?",BANKING77
My card is not working at stores.,BANKING77
Do you accept all cards and currencies?,BANKING77
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once, second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",BANKING77
It's requiring me to verify my identity?,BANKING77
I noticed a different charge while I was taking my money out.,BANKING77
Where can I find my PIN? I haven't gotten it yet.,BANKING77
Why isn't my cash deposit showing up in my account? I deposited it this morning.,BANKING77
When I'm traveling is it possible to add money automatically at certain time points?,BANKING77
"I've got a problem - I bought something with my card one or two weeks ago, but now exact same amount of the purchase is showing up in my account. I like more money in my account, but this is too good to be true. Can you tell me what's happening?",BANKING77
What cash machines will let me change my PIN?,BANKING77
I haven't received my card.,BANKING77
Where is my virtual card?,BANKING77
I did a transfer and I was charged a fee that shouldn't be there!,BANKING77
What are the reasons why a card payment would be declined?,BANKING77
When will I have access to my pin number?,BANKING77
How long does it actually take for a card payment to go through? There's one stuck since a couple of days already that doesn't seem to move,BANKING77
How do I get my card out of the ATM?,BANKING77
I just sent money but the person I sent it to doesn't see it. What happened?,BANKING77
How do I verify my identity online,BANKING77
When can I expect my new card to get here?,BANKING77
"I saw money was taken out of my account by a seller a while back. I do not recognize the seller, but I'm pretty certain I didn't make that payment. Can you track who the seller is?",BANKING77
How do I get a card if I live in the US?,BANKING77
"Hi, I am currently in the process of buying a flat and I am waiting for the mortgage to go through but it keeps showing up as an error.  Do you know what could be causing this and can you help me get the money over.",BANKING77
The top-up did not go through.,BANKING77
Am I charged for receiving money?,BANKING77
How do I go about getting hold of a virtual card?,BANKING77
Why would my top up be reverted?,BANKING77
"My account says there are pending funds right now from withdrawing from an ATM, but my card was declined and I never took out any money. When will that money be deposited back into my account?",BANKING77
I tried pulling out money at the ATM and it gave me an incorrect amount back.,BANKING77
I didn't receive my money earlier and it says the transaction is still in progress. Can you fix it?,BANKING77
I am not able to purchase anything online! I have been using my card on multiple sites over a period of two weeks and none of the payments have gone through. Why is this happening?,BANKING77
Can I use my card to withdraw from my account?,BANKING77
"I see I was charged extra when I used the card.  I am not sure why, please tell me why.",BANKING77
I really need to top-up my card today urgently but my card keeps getting declined!! Can you please resolve this problem or let me know if you have any alternatives,BANKING77
How come when I tried to pay contactless at the bus it didnt work?,BANKING77
There is a record of payment I never submitted on the app.,BANKING77
"My refund has not arrived, and I am unsure why. Who do I contact?",BANKING77
What is the procedure for depositing a virtual card,BANKING77
What kind of costs are involved for exchanging currency?,BANKING77
Is there a reason why my virtual card won't work?,BANKING77
I tried to do a transfer but I got a message that it was declined.,BANKING77
How can I dispute a direct debit transaction?,BANKING77
Why has transferring money resulted in a charge?,BANKING77
Who do I make a check out to if I want to top off my account?,BANKING77
"Hi there, I've tried to make a transfer 5 different times and its not working. Is your system down or something?",BANKING77
"I don't want to buy this car anymore, can I cancel the transaction and get a quick refund back?",BANKING77
I need to make several disposable cards per day.,BANKING77
I made a cash withdrawal earlier and it's showing as pending.  What does that mean?,BANKING77
Can you tell me how to tell where my funds come from?,BANKING77
I can't find the auto-top up option.,BANKING77
What fee will be charged for exchanges?,BANKING77
Can turn my money into another currency?,BANKING77
How long does it take for something to be delivered to the U.S?,BANKING77
is there a fee for swift transfer,BANKING77
What is the process to get a new card when your old one expires?,BANKING77
I need to urgently transfer something from China. How long will it approximately take?,BANKING77
The money has not yet been placed in recipients account.,BANKING77
Is top-up possible with Apple Pay?,BANKING77
Why was my top up cancelled?,BANKING77
why do I have to show my ID,BANKING77
Why do I see a random withdrawal in my app?,BANKING77
How long does it take for the transfer to go through?,BANKING77
I cannot get my google pay to work.,BANKING77
Why would my payment for my card show as pending?,BANKING77
Can you tell me why my card isn't letting me make purchases online? It's been 2 weeks I've been trying.,BANKING77
How can I prove I am me?,BANKING77
Please cancel my last transaction.,BANKING77
What do I do if my top-up has not gone through?,BANKING77
Can my PIN be changed in any cash machine?,BANKING77
Can I get paid for this in another currency?,BANKING77
Can you please explain the topping up transfer process?,BANKING77
Waiting for the cash I deposited this morning still,BANKING77
I made a transfer a couple hours ago but my balance has not been updated. Why is this? Shouldnt this be instant?,BANKING77
My payment shows that it is pending will I be charged more money?,BANKING77
Why should I verify the top-up?,BANKING77
Please tell me about disposable cards.,BANKING77
I'm at the ATM right now and it only allowed me to withdraw 10 pounds instead of my requested 30. What's going on? How can I fix this?,BANKING77
Why do you need to perform identity verification?,BANKING77
What are the steps needed to top up with Apple Pay?,BANKING77
I want to change the wrong exchange rate.,BANKING77
A transfer has been made in my account that I need to cancel.  This was a mistake on my part and I hope we can get this resolved quickly.,BANKING77
Help! My account doesn't show any funds. Is transferring funds an option I can use?,BANKING77
How long does it take to make an urgent transfer from China?,BANKING77
Shouldn't my new card be here by now?,BANKING77
Why hasn't a transaction I did to my friend arrived yet?,BANKING77
I could not get my card to work at a shop.,BANKING77
Where can the cards be delivered?,BANKING77
How long does it take to recieve my new card?,BANKING77
Would it be possible to open up an account for children?,BANKING77
Why am I not allowed to add a certain beneficiary?,BANKING77
My new card hasn't came in.,BANKING77
How do I replace a stolen card?,BANKING77
Someone may have made an error in figuring out the rate of exchange.  I should have received more cash than I did on my most recent withdrawal.,BANKING77
Can I get an actual card,BANKING77
How do I get a new card as your machine swallowed mine!,BANKING77
What are the restrictions on the virtual cards?,BANKING77
After making a payment with my card it doesn't seem to have worked. It's just showing to be pending. When will this actually be going through?,BANKING77
"I keep trying to make a payment, but it doesn't work.",BANKING77
Is it possible to have a second card?,BANKING77
How can I verify my top-up card?,BANKING77
What do the disposable cards do?,BANKING77
Is there something wrong with my ATM Card?  Tried using it earlier and it did not work.,BANKING77
If i want to change my pin number can I directly from an ATM?,BANKING77
where can I get the info for my funds,BANKING77
I would like to track the card you sent to me.,BANKING77
What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.,BANKING77
Need help with a stolen card.,BANKING77
What is the expected delivery date for my card?,BANKING77
"Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?",BANKING77
"After a transfer, I see an extra fee.  Why?",BANKING77
My wallet got stolen a couple hours ago and now I've seen there already is a withdrawal. Help this is absolutely urgent I don't want to loose more money,BANKING77
Is ordering a new card from China available?,BANKING77
My card hasn't came in the mail yet?,BANKING77
I topped up my account but the app failed to process it.,BANKING77
I made a check and cash deposit that wasn't credited to my account.,BANKING77
My statement shows different transaction times.,BANKING77
where to i get my funds from?,BANKING77
Are there any ATM's near me that accept this card?,BANKING77
How can I close my account?,BANKING77
"I am not sure how this will work, but I have not received a product I ordered.  I want a refund, but should I just cancel the payment?",BANKING77
Where can I order a card when I am in China?,BANKING77
What factors effect the exchange rate?,BANKING77
Do you have the best exchange rate?,BANKING77
I'm trying to purchase a flat but i need my first payment for my mortgage to go through first. I keep getting an error. I'm not sure what is going on but i need help making this transfer.,BANKING77
How can my account have money transferred into it?,BANKING77
"Hi, Last week I have contacted the seller for a refund as directed by you, but i have not received the money yet. Please look into this issue with seller and help me in getting the refund.",BANKING77
My account seems a bit off and getting weird charges.,BANKING77
My card stopped working after multiple transactions. Why?,BANKING77
I asked for cash but I did not receive all the funds,BANKING77
How can I check if I have received a refund if it is not yet on my statement?,BANKING77
"the product is not working, can I get a refund?",BANKING77
If I want to can I set up a new PIN?,BANKING77
"I tried to add a topup to my account but the money isn't there, anymore. Did I do something wrong?",BANKING77
"There must have been a mistake, why was I charged an extra pound?",BANKING77
I ordered a virtual card but it hasn't come through yet,BANKING77
How long will my transfer be pending?,BANKING77
Why is there a fee added to my statement?,BANKING77
how soon will my card arrive?,BANKING77
Why was my card declined in a shop?,BANKING77
What cards do you offer?,BANKING77
I would like to get help from someone in your customer service department with assisting me with activating my card.,BANKING77
"Hi, would you please activate my card?",BANKING77
What do I do if I think someone has used my card?,BANKING77
How do I input a new address?,BANKING77
How to receive virtual card?,BANKING77
Top up did not work on the app.,BANKING77
The ATM keeps declining my Transaction . I tried two different ATMs already Would you please check if everything is okay with my account?,BANKING77
How does identity check work?,BANKING77
Is there something wrong with the ATM? It would not let me pull cash out of my account.,BANKING77
I found my card again. Can I put it back into the app?,BANKING77
How do I get this damn virtual card to work?,BANKING77
My account balance has not updated since I deposited a cheque recently.,BANKING77
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,BANKING77
Tell me if there is a limit to top-up.,BANKING77
I believe you charged me too much to exchange my money,BANKING77
I'd like to have extra cards. Will I have to pay for that?,BANKING77
What do you use to figure out the exchange rate for the card?,BANKING77
Why is there a €1 charge on my statement?,BANKING77
Do you have any options to top up with a cheque on my account?,BANKING77
Somebody made a withdrawal from my account for 500. I have my card so how can this be? Does somebody have a duplicate card or something? Help please.,BANKING77
Since when were there charges for taking out cash from my account? It's always been free for me to do this before.  How much are the charges going to be?,BANKING77
Why hasn't the app verified my identity?,BANKING77
Where are the cards delivered to,BANKING77
"Given a choice, I'd rather have Mastercard.",BANKING77
Is there a way to lookup where funds came from?,BANKING77
Why is the exchange rate so high? This should have been a much higher amount of cash for that to apply.,BANKING77
please cancel the transaction,BANKING77
I just realised I made the wrong payment yesterday. Can you please change it to the right account? It's my rent payment and really really needs to be in the right account by tomorrow,BANKING77
Can you explain why I was charged extra when I used the card?,BANKING77
I need help finding the verification code on the top up card.,BANKING77
Why was I charged this extra fee while doing a transfer?,BANKING77
I wish to remove my account.,BANKING77
How do I transfer cash my into my account?,BANKING77
What do I need in regards to identification?,BANKING77
Can I receive money in a different countries money?,BANKING77
How can I unblock my PIN?,BANKING77
I am quite aggravated that I ordered online almost a month ago and I never got my package and I paid for it. I would really appreciate it if I could get a full refund back now.,BANKING77
"I'm interested in holding and exchange for flat currencies, what do you support?",BANKING77
An incorrect exchange rate was applied to an item I bought.,BANKING77
Can anyone else top-up for me?,BANKING77
How come the money from the merchant appeared back into my account?,BANKING77
How can I switch on my new card?,BANKING77
Why was I charged an extra fee when doing a transfer?,BANKING77
Can I transfer using SWIFT?,BANKING77
Why was there an extra charge when I transferred money?,BANKING77
Why is there a payment showing twice?,BANKING77
Why did the funds for one of my purchase come back to my account?,BANKING77
I would really like a physical card.,BANKING77
How come I have pending transfers?,BANKING77
Is there a reason my new card hasn't arrived yet?,BANKING77
I see non-received cash in my app.,BANKING77
I just found out from the seller that my money didn't go through. I checked my account and it was deducted at first but now it's back in my account. Can you  please fix this for me quickly?,BANKING77
What is the youngest age for an account?,BANKING77
I did a cash deposit to my account but it doesn't show up,BANKING77
"I did a cash deposit to my account, but I am not seeing it on my statement.",BANKING77
Do I have to use bank approved ATM's,BANKING77
I'd like to apply for a Visa Card.,BANKING77
How do I get my money back for a duplicated charge?,BANKING77
What do I need to do to get my new card which I have requested 2 weeks ago?,BANKING77
Is there a limit for top ups?,BANKING77
"Hi, I am experiencing problems while trying to top-up with my card. I have never experienced any problems doing this before. Could you please help me?",BANKING77
How can I exchange currencies with this app?,BANKING77
I topped up my account but the money isn't there now.,BANKING77
Why isn't my card working? I was pumped to use my new card but it keeps getting declined. Help please.,BANKING77
Why hasn't my balance been updated from the check deposit I made?,BANKING77
I tried to buy something online yesterday but it kept saying declined. Tried another time today but same thing happened. What's Broken?,BANKING77
Is there a problem with the payment that I see is still pending?,BANKING77
I can't get google pay to work right.,BANKING77
My card payment's cancelled,BANKING77
Do you have a children account available?,BANKING77
"Can I change my pin at ATMs?  If so, what ones?",BANKING77
If I don't have much money in the account can I auto top-up?,BANKING77
