source_dataset,source_record_id,domain,category,generated_user_text,generated_context,generated_goal,generated_entities,generated_missing_information,generated_execution_plan,generated_tool_calls,generated_expected_response,generated_success_criteria,generation_model,generation_stage
BANKING77,BANKING77_005735,finance,finance/payments,My refund isn't going fast enough.,,User wants to query account balance or available funds. based on: 'My refund isn't going fast enough.'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_8690ad72"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005763,finance,finance/payments,I requested a refund for a large order the other day and don't think I received the funds. Can you tell me if you see them or not?,,User wants to query account balance or available funds. based on: 'I requested a refund for a large order the other day and don'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_9e1bbbe2"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005778,finance,finance/payments,"I was suppose to be getting a refund for something I purchased a while ago, but It still hasnt been applied to my account. When will I get my money back?",,User wants to query account balance or available funds. based on: 'I was suppose to be getting a refund for something I purchas'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_5953ed04"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005716,finance,finance/payments,I've been waiting for a refund where is it?,,User wants to query account balance or available funds. based on: 'I've been waiting for a refund where is it?'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_1b0f47cb"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005818,finance,finance/payments,I don't see a refund in my account.,,User wants to query account balance or available funds. based on: 'I don't see a refund in my account.'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_8293441e"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005759,finance,finance/payments,I requested a refund from Next because the dress I purchased had three arm holes. They said they sent the refund last Wednesday which is nearly a week ago and I still don't have it.  Why not?,,User wants to query account balance or available funds. based on: 'I requested a refund from Next because the dress I purchased'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_c9decf8a"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005807,finance,finance/payments,"I'm looking at my statement, and my refund is not on there.",,"User wants to query account balance or available funds. based on: 'I'm looking at my statement, and my refund is not on there.'.",{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_1c50f185"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005685,finance,finance/payments,A refund is taking too long.,,User wants to query account balance or available funds. based on: 'A refund is taking too long.'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_fafad97d"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005810,finance,finance/payments,Why hasn't my return cleared my account?,,User wants to query account balance or available funds. based on: 'Why hasn't my return cleared my account?'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_bf9c46ef"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005740,finance,finance/payments,I'm supposed to have a refund but it isn't there,,User wants to query account balance or available funds. based on: 'I'm supposed to have a refund but it isn't there'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_83364205"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
